started,extinguished,counties,latitude,longitude,acresBurned,precipIntensity,precipIntensityMax,precipProbability,dewPoint,humidity,windSpeed,windGust,windBearing,uvIndex,temperatureMin,temperatureMax,cloudCover,visibility,pressure,wildfireIntensity
2013-02-24T08:16:00Z,2013-02-28T20:00:00Z,Inyo,36.60258,-118.017,406,0,0,0,3.794,0.202,8.618,22.83,294.6,0,31.076,58.788,,,,Medium
2013-05-01T09:12:00Z,2013-05-09T09:00:00Z,Tehama,40.19006,-121.596,6965,0.000956,0.004767,0.146667,30.05667,0.5,3.346667,12.61222,117.3333,7.666667,44.09111,64.22444,0.402222,9.815889,,High
2013-05-01T12:38:00Z,2013-05-04T18:30:00Z,Riverside,34.28888,-116.941,3166,0,0,0,9.54,0.23,3.895,16.175,95.75,11.75,36.06,64.4275,0.0125,9.82275,,High
2013-05-01T19:00:00Z,2013-05-05T18:00:00Z,Glenn,39.51414,-122.561,217,0,0,0,22.254,0.18,6.022,20.492,210.4,0,56.932,84.108,,,,Low
2013-05-15T12:50:00Z,2013-05-21T19:45:00Z,Kern,34.7861,-118.941,4346,0,0,0,33.40714,0.524286,4.89,17.07429,272.5714,11.71429,40.46143,64.12714,0.081429,9.997,1013.8,High
2013-05-23T12:20:00Z,2013-05-26T17:45:00Z,San Diego,33.12111,-116.526,2781,0,0.00015,0.0075,35.0425,0.4075,9.5175,20.2375,254.5,11,50.2575,70.825,0.43,8.83475,1012.375,High
2013-05-26T12:04:00Z,2013-05-31T06:15:00Z,San Diego,33.04458,-116.521,1271,0,0,0,41.43333,0.528333,9.805,20.55167,256,11.66667,51.04,69.785,0.365,8.2765,1011.133,High
2013-05-27T14:45:00Z,2013-05-30T19:30:00Z,Santa Barbara,34.55048,-119.824,1984,2.50E-05,0.000725,0.045,48.68,0.5975,8.0425,17.88,276.25,10.75,52.98,79.7975,0.1275,9.94475,1011.525,High
2013-06-10T00:46:00Z,2013-06-14T15:45:00Z,Sonoma,38.4229,-122.044,28,0.00224,0.0067,0.134,49.508,0.59,7.98,18.334,241.4,10.2,54.6,77.554,0.068,9.99,1012.3,Low
2013-06-16T14:12:00Z,2013-06-26T11:15:00Z,Mariposa,37.58202,-119.911,1708,0.000882,0.004382,0.104545,39.95273,0.432727,3.538182,13.21364,277.0909,,52.89364,77.35091,,,,High
2013-06-28T14:30:00Z,2013-07-01T06:00:00Z,San Bernardino,34.07156,-117.048,534,0,0,0,48.74,0.3,2.825,15.88,168.25,10,71.45,101.59,0.0825,9.997,1010.8,Medium
2013-07-06T12:55:00Z,2013-07-15T06:15:00Z,San Diego,32.95435,-116.474,7055,0.00011,0.00053,0.041,48.386,0.388,4.562,13.803,267.4,11.7,68.883,85.975,0.179,8.9325,1010.39,High
2013-07-08T12:45:00Z,2013-07-11T18:30:00Z,El Dorado,38.774,-120.298,572,0.0003,0.0015,0.0175,34.5375,0.2325,3.855,18.75,220.75,11,65.04,88.7775,0.0575,9.997,1017.3,Medium
2013-07-19T12:00:00Z,2013-07-22T18:45:00Z,Kern,34.882,-118.919,712,0,0,0,39.7075,0.2575,5.0975,16.275,215.75,11,67.47,89.7175,0.0425,9.997,1011.95,High
2013-08-01T16:01:00Z,2013-08-04T14:45:00Z,Butte,39.6612,-121.504,92,0,0,0,45.655,0.3575,4.07,11.6025,114.25,9.5,61.87,90.0475,0.0675,9.88775,1013.6,Low
2013-08-05T06:00:00Z,2013-08-14T08:30:00Z,Tuolumne,38.25108,-120.028,1070,2.00E-05,8.00E-05,0.002,37.287,0.353,2.156,9.856,208.9,9.9,53.772,82.776,0.06,9.6291,1012.69,Medium
2013-08-05T10:10:00Z,2013-08-09T18:45:00Z,Riverside,33.62236,-117.403,1383,0,6.00E-05,0.006,52.276,0.626,3.872,16.152,187.8,10.2,53.932,83.2,0.258,8.8882,1014.72,High
2013-08-08T12:15:00Z,2013-08-13T23:45:00Z,San Bernardino,34.35,-117.62,243,0,0,0,23.99333,0.221667,3.076667,13.775,210.1667,10.66667,54.57667,74.85,0.065,9.2825,1012.667,Low
2013-08-09T15:51:00Z,2013-08-12T09:30:00Z,Lassen,40.88886,-120.958,97,0.000425,0.007075,0.1275,35.3125,0.445,2.55,14.4175,294.25,0,42.195,75.52,,10,,Low
2013-08-16T16:37:00Z,2013-08-22T18:00:00Z,Butte,39.44627,-121.382,2462,0.000114,0.001371,0.005714,51.67286,0.397143,3.515714,11.79143,178,9,65.34,94.42286,0.041429,9.631571,1012.286,High
2013-08-18T18:30:00Z,2013-08-25T13:15:00Z,Plumas,40.00842,-120.765,513,0.000775,0.00895,0.1725,42.5,0.49,2.6475,14.7675,170.75,0,49.435,84.49125,,,,Medium
2013-08-18T23:12:00Z,2013-08-24T13:45:00Z,Kern,35.707,-118.588,794,0.000943,0.011229,0.151429,43.83857,0.371429,5.455714,20.83571,241,0,61.02714,87.61143,,,,Medium
2013-08-19T17:48:00Z,2013-08-23T19:15:00Z,Shasta,40.5445,-121.375,196,0.00162,0.01726,0.246,45.596,0.534,2.1,12.334,216,0,51.67,82.192,,,,Low
2013-08-23T14:15:00Z,2013-08-29T16:45:00Z,Tehama,40.04263,-121.854,11429,2.86E-05,0.000271,0.044286,47.54714,0.434286,4.304286,11.53571,160.2857,7.857143,59.05429,85.34,0.18,9.898286,1010.043,High
2013-08-24T15:09:00Z,2013-08-30T08:00:00Z,San Bernardino,33.642,-116.706,97,0.001843,0.016871,0.214286,53.44429,0.587143,3.531429,14.07286,165,8.857143,61.90429,80.25571,0.301429,9.776286,1010.243,Low
2013-09-05T15:57:00Z,2013-09-24T20:15:00Z,Modoc,41.73325,-120.375,97,0.000789,0.009668,0.127368,34.47842,0.398421,4.61,16.88947,191.8947,6.842105,49.17263,76.66895,0.197895,9.955632,1012.689,Low
2013-09-08T11:53:00Z,2013-09-24T20:15:00Z,Tulare,36.258,-118.459,134,0.000459,0.004788,0.241765,37.12176,0.579412,2.674118,13.40882,235.1176,0,41.57,67.32529,,,,Low
2013-09-08T13:08:00Z,2013-09-14T17:30:00Z,Contra Costa,37.90757,-121.883,3111,1.43E-05,0.000357,0.035714,52.11286,0.574286,7.584286,17.24857,279.7143,7.571429,60.02857,84.49714,0.234286,9.979857,1010.2,High
2013-09-09T12:32:00Z,2013-09-15T07:30:00Z,Shasta,40.49833,-122.535,8073,0,7.14E-05,0.002857,49.76429,0.422857,1.851429,10.51,183.7143,7,60.15714,97.62857,0.007143,9.984286,1007.971,High
2013-09-09T13:09:00Z,2013-09-12T18:15:00Z,San Diego,32.71092,-116.746,263,0.00025,0.003225,0.09,50.51,0.4925,4.9575,15.5775,263.75,8.5,64.3725,80.9775,0.3875,8.77475,1010.8,Medium
2013-09-23T18:00:00Z,2013-09-28T08:00:00Z,Los Angeles,34.149,-117.908,268,8.33E-05,0.00075,0.06,44.55667,0.441667,2.895,12.25167,236.5,7,59.015,83.565,0.135,9.867667,1009.967,Low
2013-09-24T15:51:00Z,2013-09-30T08:30:00Z,San Bernardino,34.2,-117.417,200,0.000214,0.002514,0.081429,32.75286,0.312857,4.595714,16.56714,251,7.142857,55.64286,81.93143,0.081429,9.833143,1011.671,Low
2013-10-05T12:45:00Z,2013-10-09T19:00:00Z,San Diego,33.341,-117.309,2236,2.00E-05,0.00034,0.02,33.55,0.334,4.666,15.114,101,6.6,61.15,83.93,0.232,9.2518,1014.38,High
2013-10-06T10:52:00Z,2013-10-09T08:00:00Z,Orange,33.7655,-117.665,40,0,0,0,32.29,0.31,5.89,18.8775,133.75,6.25,61.1125,82.1375,0.1275,9.69525,1014.8,Low
2013-11-22T02:04:00Z,2013-11-27T18:15:00Z,Sonoma,38.8167,-122.85,3505,6.67E-05,0.000567,0.031667,25.33333,0.466667,3.913333,18.80833,87.66667,2.666667,40.88,61.3,0.106667,9.820333,1018.6,High
2014-01-02T20:00:00Z,2014-01-10T18:30:00Z,Tehama,40.1346,-121.79,865,2.22E-05,0.000189,0.013333,25.00222,0.492222,2.621111,6.783333,152.6667,2,36.20778,58.24111,0.244444,9.743556,1021.156,Medium
2014-01-04T12:00:00Z,2014-01-08T19:15:00Z,Humboldt,40.88442,-123.774,333,0.00028,0.0029,0.174,26.532,0.594,4.478,15.384,184.8,2,32.304,51.414,0.468,7.6786,1021.2,Medium
2014-01-16T05:50:00Z,2014-01-27T10:00:00Z,Los Angeles,34.1703,-117.882,1952,1.67E-05,5.00E-05,0.000833,22.3075,0.238333,2.675,9.504167,109.5,3.25,52.45417,76.19667,0.185833,8.50125,1018.858,High
2014-03-08T12:30:00Z,2014-03-11T11:00:00Z,San Diego,32.81,-116.49,125,0,7.50E-05,0.0075,20.4825,0.28,7.27,22.6675,121.5,7.25,49.05,64.5625,0.145,9.25375,1015.325,Low
2014-04-30T08:00:00Z,2014-05-05T17:30:00Z,San Bernardino,34.16935,-117.547,2143,3.33E-05,0.00035,0.005,22.70167,0.17,5.35,18.76333,138.8333,8.833333,61.46167,85.19333,0.208333,8.187833,1013.983,High
2014-05-13T11:00:00Z,2014-05-17T20:14:00Z,San Diego,33.003,-117.133,1548,4.00E-05,0.00078,0.004,25.498,0.156,5.636,20.282,139.6,10.6,65.662,94.52,0.068,9.8448,1014.8,High
2014-05-13T14:00:00Z,2014-05-19T09:20:00Z,Santa Barbara,34.609,-120.454,632,0,0,0,39.76429,0.475714,7.448571,21.54429,277,11,51.74,79.36286,0.118571,9.749714,1015.814,Medium
2014-05-14T09:45:00Z,2014-05-19T09:20:00Z,San Diego,33.3529,-117.285,5367,0.000283,0.006117,0.051667,30.29833,0.265,5.335,19.75167,175.6667,11,65.51167,90.05,0.18,8.827667,1013.9,High
2014-05-14T10:30:00Z,2014-05-17T00:00:00Z,San Diego,33.1109,-117.279,600,0.0001,0.002275,0.0075,28.9225,0.175,4.7,17.9525,164.75,11,67.3975,96.21,0.0575,9.68025,1014.75,Medium
2014-05-14T16:00:00Z,2014-05-22T18:15:00Z,San Diego,33.1137,-117.16,1995,0.0002,0.003967,0.013333,39.65778,0.447778,4.833333,16.83222,196.8889,10.33333,61.06333,81.61889,0.347778,9.147222,1014.022,High
2014-05-16T11:24:00Z,2014-05-20T23:30:00Z,San Diego,33.41757,-117.551,1457,2.00E-05,0.00022,0.002,43.982,0.456,5.006,13.77,207.4,10.4,64.06,84.702,0.402,7.7948,1013.02,High
2014-06-10T15:11:00Z,2014-06-13T18:30:00Z,Mariposa,37.7103,-120.197,130,0,0,0,43.8675,0.2925,4.5375,15.05,264.25,11,66.4625,95.9175,0,9.997,,Low
2014-06-13T17:00:00Z,2014-06-20T08:30:00Z,Kern,35.70683,-118.556,3895,0.00015,0.00105,0.145,31.24125,0.36375,7.565,26.2475,271.125,,46.7475,71.37375,,,,High
2014-07-01T12:08:00Z,2014-07-09T18:00:00Z,Napa,38.664,-122.454,4300,0,0.000111,0.003333,50.66,0.488889,2.334444,11.07556,203.6667,10.88889,57.86333,90.66778,0.313333,8.936778,1011.289,High
2014-07-03T10:43:00Z,2014-07-06T09:15:00Z,San Diego,33.07895,-116.576,217,0.000325,0.006975,0.0575,48.25,0.395,5.7,15.42,218.75,11.75,67.445,85.605,0.11,9.4385,1012.95,Medium
2014-07-03T15:46:00Z,2014-07-07T07:00:00Z,Modoc,41.489,-120.904,1469,0,0,0,29.828,0.252,4.498,18.476,243.6,11,50.628,93.752,0.006,10,1014.36,High
2014-07-04T21:32:00Z,2014-07-12T18:00:00Z,Yolo,38.512,-122.104,6488,0.000289,0.003622,0.057778,52.55444,0.55,6.302222,16.50111,222.8889,10.77778,57.16444,87.85778,0.065556,9.262667,1011.856,High
2014-07-05T18:44:00Z,2014-07-08T18:30:00Z,Shasta,40.5719,-121.342,75,0,0,0,29.3025,0.335,4.22,15.535,242,,41.6825,80.735,,,,Low
2014-07-11T13:46:00Z,2014-07-21T14:45:00Z,Kern,35.642,-118.15,1680,9.09E-06,0.000164,0.005455,42.56273,0.32,6.147273,21.15273,216.4545,10.54545,65.8,86.52818,0.168182,9.997,1010.355,High
2014-07-25T16:34:00Z,2014-08-02T19:15:00Z,Amador,38.5691,-120.782,4240,2.22E-05,0.000367,0.015556,43.60333,0.263333,2.893333,9.853333,238.4444,9.888889,70.28333,97.91444,0.056667,9.964,,High
2014-07-31T17:45:00Z,2014-08-18T10:00:00Z,Siskiyou,41.682,-122.127,5503,0.000479,0.007011,0.157368,43.86632,0.472632,4.160526,15.61053,202.8421,9.421053,51.07526,84.25316,0.165789,9.328,1015.579,High
2014-08-18T13:50:00Z,2014-08-25T08:25:00Z,Madera,37.3433,-119.658,612,0,0,0,43.12375,0.35,2.1025,12.9025,260,0,57.88,90.1025,,,,Medium
2014-08-18T14:30:00Z,2014-08-27T18:00:00Z,Kern,35.7206,-118.475,4045,0.0001,0.0006,0.071,37.016,0.279,6.948,25.546,278.3,0,60.542,88.246,,,,High
2014-08-24T16:36:00Z,2014-08-28T19:00:00Z,Trinity,40.7412,-122.946,580,4.00E-05,0.00066,0.002,41.358,0.35,3.094,16.928,166.8,8.6,53.488,93.706,0.132,9.9858,,Medium
2014-09-10T00:30:00Z,2014-09-16T09:30:00Z,Shasta,40.7101,-122.171,1375,0,5.71E-05,0.002857,39.5,0.284286,3.17,12.39286,195.2857,7,60.85857,97.64714,0.032857,9.876286,1009.043,High
2014-09-11T15:14:00Z,2014-09-15T14:20:00Z,Napa,38.69596,-122.384,27,0,0,0,41.25,0.336,1.036,12.04,181.8,7.4,53.012,97.952,0.22,8.5492,1009.8,Low
2014-09-12T10:30:00Z,2014-09-22T15:00:00Z,Orange,33.748,-117.601,968,0.000282,0.004555,0.035455,57.90273,0.577273,3.731818,14.45818,240,8,65.91909,87.44182,0.146364,9.784909,1009.009,Medium
2014-09-12T15:00:00Z,2014-09-15T11:00:00Z,Humboldt,41.134,-123.753,210,0,0,0,40.6375,0.3525,3.45,12.5875,169.25,4,57.735,88.085,0.53,5.321667,1011.8,Medium
2014-09-13T14:07:00Z,2014-09-18T18:45:00Z,Nevada,39.11368,-121,247,0,6.67E-05,0.011667,40.62167,0.273333,1.35,8.736667,228,7,66.99833,92.10333,0.046667,8.225167,1012.183,Low
2014-09-14T09:15:00Z,2014-09-17T18:45:00Z,El Dorado,38.59,-120.028,94,0.002675,0.012125,0.1575,36.1675,0.4025,3.42,16.31,208.75,7.25,50.025,73.325,0.11,3.63325,1015.4,Low
2014-09-14T13:36:00Z,2014-09-22T07:15:00Z,Madera,37.31192,-119.604,320,0.000111,0.0014,0.0975,46.21889,0.404444,1.406667,9.506667,233.5556,0,59.92111,87.68222,,,,Low
2015-02-24T12:15:00Z,2015-03-02T09:00:00Z,Siskiyou,41.485,-121.851,200,0.001357,0.006514,0.315714,18.69429,0.587143,4.574286,14.50857,198,3.857143,25.33429,45.82286,0.23,9.873571,1020.514,Low
2015-04-13T05:30:00Z,2015-04-18T23:50:00Z,Plumas,40.05083,-120.702,137,8.33E-05,0.000783,0.06,19.6,0.376667,4.286667,16.90333,159.5,0,32.18333,64.01,,,,Low
2015-04-18T18:12:00Z,2015-04-24T07:30:00Z,Riverside,33.88431,-117.643,1049,0,8.57E-05,0.007143,42.89143,0.511429,3.655714,15.76714,244,8.571429,54.34571,74.87571,0.274286,9.328286,1013.071,Medium
2015-06-10T15:00:00Z,2015-06-29T09:00:00Z,Trinity,40.924,-123.168,1542,0.000905,0.011089,0.083158,39.81632,0.318947,3.513158,15.73895,276.0526,11,58.94947,90.73842,0.014737,9.961158,,Medium
2015-06-18T13:07:00Z,2015-06-22T11:45:00Z,Yuba,39.2688,-121.265,158,0,0,0,38.984,0.248,2.922,9.34,171.8,10.4,64.304,94.208,0.016,9.4282,1011.14,Low
2015-06-18T21:00:00Z,2015-06-25T18:45:00Z,Madera,37.16577,-119.524,920,0,0,0,33.9375,0.19875,2.675,12.16625,269.625,9.625,63.89375,97.23875,0.23375,9.997,1011.325,Medium
2015-06-25T18:30:00Z,2015-06-29T09:00:00Z,San Bernardino,34.16597,-117.244,100,0.00054,0.00558,0.11,43.198,0.262,3.322,11.074,228.2,9,70.954,94.33,0.264,8.5908,1012.14,Low
2015-07-10T12:41:00Z,2015-07-15T07:00:00Z,San Luis Obispo,35.7183,-121.016,95,0,5.00E-05,0.006667,52.895,0.673333,3.825,14.8,267.6667,10.83333,53.92833,77.36333,0.143333,9.957667,1013.183,Low
2015-07-12T14:46:00Z,2015-07-21T07:20:00Z,San Bernardino,34.07835,-117.049,54,0.00605,0.03938,0.279,49.597,0.491,3.239,13.99,225.9,9.6,60.125,86.732,0.248,9.3412,1012.82,Low
2015-07-17T14:33:00Z,2015-07-21T07:00:00Z,San Bernardino,34.339,-117.478,4250,0.01286,0.09968,0.582,51.318,0.572,3.812,14.568,211.8,9.2,60.616,83.708,0.408,7.9054,1013.06,High
2015-07-17T21:30:00Z,2015-08-04T08:15:00Z,Los Angeles,34.367,-117.683,200,0.005021,0.040942,0.231579,45.57316,0.588421,2.413158,11.55105,203.4211,10.52632,52.60947,73.65368,0.238421,9.140842,1012.016,Low
2015-07-21T12:35:00Z,2015-07-26T10:30:00Z,Tulare,36.08521,-118.824,430,0.001067,0.013417,0.151667,52.395,0.403333,3.596667,12.87333,256.6667,11,68.32667,91.8,0.01,9.997,,Medium
2015-07-23T14:00:00Z,2015-07-29T14:15:00Z,El Dorado,38.776,-120.404,75,2.86E-05,0.000229,0.022857,38.75429,0.337143,3.184286,13.55286,203.2857,10.57143,59.32714,82.48143,0.114286,6.813571,1016.743,Low
